1,1,
2,7,
3,4,
4,1,
5,3,
6,4,
1,1,
2,7,
3,4,
4,1,
5,3,
6,4,
1,1,
2,7,
3,4,
4,1,
5,3,
6,4,
1,1,
2,7,
3,4,
4,1,
5,3,
6,4,
1,1,
2,7,
3,4,
4,1,
5,3,
6,4,
1,1,
2,6,
3,3,
4,1,
5,3,
6,4,
1,1,
2,7,
3,3,
4,1,
5,3,
6,5,
1,1,
2,7,
3,3,
4,1,
5,3,
6,5,
1,1,
2,7,
3,3,
4,1,
5,3,
6,5,
1,1,
2,7,
3,3,
4,1,
5,3,
6,5,
1,1,
2,7,
3,3,
4,1,
5,3,
6,5,
1,1,
2,7,
3,4,
4,1,
5,3,
6,4,
1,1,
2,6,
3,4,
4,1,
5,3,
6,5,
1,1,
2,7,
3,4,
4,1,
5,3,
6,4,
1,1,
2,6,
3,4,
4,1,
5,3,
6,4,
1,1,
2,6,
3,4,
4,1,
5,3,
6,4,
1,1,
2,6,
3,4,
4,1,
5,3,
6,4,
1,1,
2,6,
3,4,
4,1,
5,3,
6,4,
1,0,
2,6,
3,4,
4,2,
5,3,
6,4,
1,1,
2,6,
3,4,
4,1,
5,3,
6,5,
1,0,
2,6,
3,4,
4,2,
5,3,
6,5,
1,0,
2,5,
3,3,
4,2,
5,3,
6,4,
1,0,
2,6,
3,4,
4,2,
5,3,
6,5,
1,0,
2,6,
3,4,
4,2,
5,3,
6,5,
1,0,
2,6,
3,4,
4,2,
5,3,
6,5,
1,0,
2,6,
3,4,
4,2,
5,3,
6,5,
1,0,
2,6,
3,4,
4,2,
5,3,
6,5,
1,0,
2,6,
3,4,
4,1,
5,3,
6,4,
1,0,
2,6,
3,4,
4,1,
5,3,
6,4,
1,0,
2,7,
3,3,
4,1,
5,3,
6,4,
1,0,
2,6,
3,3,
4,2,
5,3,
6,4,
1,0,
2,6,
3,3,
4,2,
5,3,
6,4,
1,0,
2,7,
3,3,
4,2,
5,3,
6,4,
1,0,
2,7,
3,2,
4,2,
5,3,
6,5,
1,0,
2,7,
3,3,
4,2,
5,3,
6,4,
1,0,
2,7,
3,3,
4,2,
5,3,
6,4,
1,0,
2,7,
3,3,
4,2,
5,3,
6,4,
1,0,
2,7,
3,3,
4,2,
5,3,
6,4,
1,0,
2,7,
3,2,
4,2,
5,4,
6,5,
1,0,
2,7,
3,2,
4,2,
5,4,
6,6,
1,0,
2,7,
3,2,
4,2,
5,4,
6,6,
1,0,
2,7,
3,2,
4,2,
5,4,
6,6,
1,0,
2,7,
3,3,
4,2,
5,4,
6,5,
1,0,
2,7,
3,3,
4,2,
5,4,
6,5,
1,0,
2,7,
3,2,
4,2,
5,4,
6,5,
1,0,
2,7,
3,2,
4,2,
5,4,
6,6,
1,0,
2,6,
3,2,
4,2,
5,4,
6,6,
1,0,
2,6,
3,2,
4,2,
5,3,
6,6,
1,0,
2,5,
3,2,
4,2,
5,4,
6,6,
1,0,
2,5,
3,2,
4,2,
5,4,
6,6,
1,0,
2,6,
3,2,
4,2,
5,4,
6,6,
1,0,
2,5,
3,2,
4,2,
5,4,
6,6,
1,0,
2,6,
3,2,
4,2,
5,4,
6,6,
1,0,
2,6,
3,2,
4,2,
5,4,
6,6,
1,0,
2,5,
3,2,
4,2,
5,4,
6,6,
1,0,
2,5,
3,2,
4,2,
5,4,
6,6,
1,0,
2,6,
3,2,
4,2,
5,4,
6,6,
1,0,
2,5,
3,2,
4,2,
5,4,
6,6,
1,0,
2,5,
3,2,
4,2,
5,4,
6,6,
1,0,
2,5,
3,2,
4,2,
5,4,
6,6,
1,0,
2,5,
3,2,
4,2,
5,4,
6,6,
1,0,
2,6,
3,2,
4,2,
5,4,
6,6,
1,0,
2,6,
3,2,
4,2,
5,4,
6,5,
1,0,
2,6,
3,2,
4,2,
5,4,
6,5,
1,0,
2,6,
3,2,
4,2,
5,5,
6,4,
1,0,
2,6,
3,2,
4,2,
5,5,
6,5,
1,0,
2,6,
3,2,
4,2,
5,5,
6,5,
1,0,
2,6,
3,2,
4,2,
5,5,
6,5,
1,0,
2,7,
3,2,
4,2,
5,5,
6,5,
1,0,
2,7,
3,2,
4,2,
5,5,
6,5,
1,0,
2,7,
3,2,
4,2,
5,5,
6,5,
1,0,
2,7,
3,2,
4,2,
5,5,
6,5,
1,0,
2,6,
3,2,
4,2,
5,5,
6,5,
1,0,
2,7,
3,2,
4,2,
5,5,
6,4,
1,0,
2,7,
3,2,
4,2,
5,5,
6,4,
1,0,
2,7,
3,2,
4,2,
5,5,
6,4,
1,0,
2,7,
3,1,
4,2,
5,5,
6,5,
1,0,
2,7,
3,2,
4,2,
5,5,
6,4,
1,0,
2,7,
3,2,
4,2,
5,5,
6,4,
1,0,
2,7,
3,1,
4,1,
5,5,
6,4,
1,0,
2,7,
3,1,
4,1,
5,5,
6,5,
1,0,
2,7,
3,1,
4,2,
5,5,
6,6,
1,0,
2,7,
3,1,
4,1,
5,5,
6,6,
1,0,
2,7,
3,1,
4,1,
5,5,
6,6,
1,0,
2,7,
3,1,
4,1,
5,5,
6,6,
1,0,
2,7,
3,1,
4,1,
5,5,
6,6,
1,0,
2,7,
3,1,
4,1,
5,5,
6,6,
1,0,
2,7,
3,1,
4,1,
5,5,
6,5,
1,0,
2,6,
3,1,
4,1,
5,5,
6,6,
1,0,
2,6,
3,1,
4,1,
5,4,
6,6,
1,0,
2,7,
3,1,
4,1,
5,4,
6,6,
1,0,
2,7,
3,1,
4,1,
5,4,
6,6,
1,0,
2,6,
3,2,
4,1,
5,4,
6,6,
1,0,
2,6,
3,3,
4,1,
5,4,
6,5,
1,0,
2,6,
3,3,
4,1,
5,4,
6,5,
1,0,
2,6,
3,3,
4,1,
5,4,
6,5,
1,0,
2,6,
3,3,
4,1,
5,4,
6,5,
1,0,
2,6,
3,3,
4,1,
5,4,
6,3,
1,0,
2,6,
3,3,
4,1,
5,4,
6,3,
1,0,
2,7,
3,3,
4,1,
5,4,
6,5,
1,1,
2,7,
3,3,
4,0,
5,4,
6,5,
1,0,
2,7,
3,3,
4,1,
5,4,
6,5,
1,1,
2,7,
3,3,
4,0,
5,4,
6,5,
1,1,
2,7,
3,4,
4,0,
5,4,
6,4,
1,1,
2,7,
3,4,
4,0,
5,4,
6,4,
1,1,
2,7,
3,4,
4,0,
5,4,
6,4,
1,1,
2,7,
3,4,
4,0,
5,4,
6,4,
1,1,
2,7,
3,4,
4,0,
5,4,
6,3,
1,1,
2,7,
3,4,
4,0,
5,4,
6,4,
1,1,
2,7,
3,4,
4,0,
5,4,
6,4,
1,1,
2,7,
3,4,
4,0,
5,4,
6,3,
1,1,
2,7,
3,4,
4,0,
5,4,
6,4,
1,1,
2,7,
3,4,
4,0,
5,4,
6,4,
1,1,
2,7,
3,4,
4,0,
5,4,
6,4,
1,1,
2,7,
3,4,
4,0,
5,4,
6,4,
1,1,
2,7,
